name,grammar,hop,n_edges,n_pairs,hide_hop_token,schedule,attn,krylov_m,krylov_rho,krylov_beta,krylov_state_decay,n_layers,d_model,n_heads,d_ff,seed,steps_budget,solved_step,best_acc,best_eval_loss,final_acc,final_eval_loss,final_ppl,elapsed_s
path_h3_d3_krylov_m3_seed2,path,3,5,6,True,krylov>krylov>krylov,krylov,3,1.0,0.5,1.0,3,128,4,512,2,30000,,0.3609375,0.712430377960205,0.340625,0.7126954460144043,2.03948116783124,2043.390677690506
path_h3_d3_krylov_m3_seed3,path,3,5,6,True,krylov>krylov>krylov,krylov,3,1.0,0.5,1.0,3,128,4,512,3,30000,23750,0.99921875,0.6678868827819824,0.99921875,0.6678868827819824,1.9501121481271375,1613.9930670261383
path_h3_d4_softmax_m1_seed1,path,3,5,6,True,softmax>softmax>softmax>softmax,softmax,1,1.0,0.5,1.0,4,128,4,512,1,30000,5750,0.990625,0.6752422027587891,0.990625,0.6752422027587891,1.9645087277868554,20.466658115386963
path_h3_d4_softmax_m1_seed2,path,3,5,6,True,softmax>softmax>softmax>softmax,softmax,1,1.0,0.5,1.0,4,128,4,512,2,30000,19750,0.9921875,0.6706075477600097,0.9921875,0.6706075477600097,1.955424973884123,71.29970860481262
path_h3_d4_softmax_m1_seed3,path,3,5,6,True,softmax>softmax>softmax>softmax,softmax,1,1.0,0.5,1.0,4,128,4,512,3,30000,,0.365625,0.7120404396057128,0.36328125,0.71241898727417,2.038917413367865,107.64850378036499
path_h3_d4_krylov_m1_seed1,path,3,5,6,True,krylov>krylov>krylov>krylov,krylov,1,1.0,0.5,1.0,4,128,4,512,1,30000,,0.69453125,0.6859454345703125,0.675,0.6870683021545411,1.9878791211883962,1182.4705440998077
path_h3_d4_krylov_m1_seed2,path,3,5,6,True,krylov>krylov>krylov>krylov,krylov,1,1.0,0.5,1.0,4,128,4,512,2,30000,,0.36953125,0.7123866539001464,0.33046875,0.7123908653259278,2.0388600758441213,1181.2896065711975
path_h3_d4_krylov_m1_seed3,path,3,5,6,True,krylov>krylov>krylov>krylov,krylov,1,1.0,0.5,1.0,4,128,4,512,3,30000,21000,1.0,0.6688505706787109,1.0,0.6688505706787109,1.9519923534215824,825.9156136512756
path_h3_d4_krylov_m2_seed1,path,3,5,6,True,krylov>krylov>krylov>krylov,krylov,2,1.0,0.5,1.0,4,128,4,512,1,30000,,0.69140625,0.6871060981750489,0.67421875,0.6875644187927246,1.9888655857756294,1956.0448777675629
path_h3_d4_krylov_m2_seed2,path,3,5,6,True,krylov>krylov>krylov>krylov,krylov,2,1.0,0.5,1.0,4,128,4,512,2,30000,,0.3625,0.7122601318359375,0.34296875,0.7122601318359375,2.038593545973374,1953.310519695282
path_h3_d4_krylov_m2_seed3,path,3,5,6,True,krylov>krylov>krylov>krylov,krylov,2,1.0,0.5,1.0,4,128,4,512,3,30000,,0.378125,0.7124401016235351,0.3609375,0.7124917907714844,2.0390658590899116,1953.7713758945465
path_h3_d4_krylov_m3_seed1,path,3,5,6,True,krylov>krylov>krylov>krylov,krylov,3,1.0,0.5,1.0,4,128,4,512,1,30000,,0.375,0.7122661743164063,0.34375,0.7125845565795899,2.039255023455967,2794.2016525268555
path_h3_d4_krylov_m3_seed2,path,3,5,6,True,krylov>krylov>krylov>krylov,krylov,3,1.0,0.5,1.0,4,128,4,512,2,30000,,0.3609375,0.7122664756774902,0.33203125,0.7122664756774902,2.038606478528841,2794.734843492508
path_h3_d4_krylov_m3_seed3,path,3,5,6,True,krylov>krylov>krylov>krylov,krylov,3,1.0,0.5,1.0,4,128,4,512,3,30000,,0.365625,0.7122062187194824,0.365625,0.7125839805603027,2.0392538488060805,2791.752654314041
